  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    16.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.800  -0.0714   0.00554   0.00118  -0.1025   0.5542   0.0244
  -4.600  -0.0483   0.00552   0.00115  -0.1026   0.5457   0.0252
  -4.400  -0.0251   0.00548   0.00110  -0.1027   0.5370   0.0274
  -4.200  -0.0020   0.00546   0.00106  -0.1029   0.5290   0.0287
  -4.000   0.0212   0.00544   0.00102  -0.1030   0.5205   0.0295
  -3.800   0.0443   0.00541   0.00099  -0.1031   0.5124   0.0321
  -3.600   0.0675   0.00538   0.00095  -0.1032   0.5047   0.0338
  -3.400   0.0907   0.00536   0.00092  -0.1034   0.4978   0.0362
  -3.200   0.1139   0.00534   0.00089  -0.1035   0.4893   0.0390
  -3.000   0.1372   0.00532   0.00087  -0.1036   0.4839   0.0401
  -2.800   0.1603   0.00530   0.00085  -0.1037   0.4752   0.0444
  -2.600   0.1836   0.00527   0.00082  -0.1039   0.4713   0.0466
  -2.400   0.2068   0.00526   0.00080  -0.1040   0.4653   0.0512
  -2.200   0.2300   0.00524   0.00078  -0.1042   0.4578   0.0541
  -2.000   0.2534   0.00521   0.00076  -0.1043   0.4552   0.0597
  -1.800   0.2766   0.00519   0.00075  -0.1045   0.4502   0.0631
  -1.600   0.2998   0.00519   0.00074  -0.1046   0.4431   0.0686
  -1.400   0.3231   0.00516   0.00072  -0.1048   0.4403   0.0735
  -1.200   0.3465   0.00514   0.00072  -0.1049   0.4368   0.0809
  -1.000   0.3696   0.00513   0.00071  -0.1051   0.4317   0.0860
  -0.800   0.3928   0.00511   0.00071  -0.1052   0.4255   0.0950
  -0.600   0.4163   0.00510   0.00070  -0.1054   0.4239   0.0995
  -0.400   0.4395   0.00507   0.00070  -0.1056   0.4203   0.1106
  -0.200   0.4626   0.00509   0.00071  -0.1057   0.4150   0.1176
   0.000   0.4858   0.00507   0.00071  -0.1058   0.4095   0.1266
   0.200   0.5092   0.00505   0.00071  -0.1060   0.4079   0.1372
   0.400   0.5324   0.00506   0.00072  -0.1062   0.4038   0.1431
   0.600   0.5553   0.00507   0.00074  -0.1063   0.3952   0.1570
   0.800   0.5785   0.00506   0.00075  -0.1065   0.3919   0.1697
   1.000   0.6015   0.00508   0.00077  -0.1066   0.3855   0.1796
   1.200   0.6244   0.00510   0.00079  -0.1067   0.3776   0.1907
   1.400   0.6473   0.00512   0.00082  -0.1068   0.3711   0.2045
   1.600   0.6701   0.00514   0.00085  -0.1069   0.3620   0.2205
   1.800   0.6928   0.00518   0.00088  -0.1070   0.3543   0.2319
   2.000   0.7155   0.00522   0.00092  -0.1071   0.3448   0.2467
   2.200   0.7379   0.00529   0.00097  -0.1071   0.3321   0.2593
   2.400   0.7603   0.00535   0.00102  -0.1071   0.3216   0.2753
   2.600   0.7827   0.00540   0.00107  -0.1072   0.3108   0.2932
   3.000   0.8268   0.00557   0.00120  -0.1072   0.2827   0.3328
   3.200   0.8487   0.00566   0.00128  -0.1071   0.2675   0.3566
   3.400   0.8705   0.00576   0.00136  -0.1071   0.2525   0.3807
   3.600   0.8922   0.00584   0.00144  -0.1070   0.2379   0.4167
   3.800   0.9137   0.00592   0.00154  -0.1070   0.2217   0.4661
   4.000   0.9353   0.00600   0.00164  -0.1069   0.2078   0.5047
   4.400   0.9780   0.00623   0.00186  -0.1067   0.1769   0.5727
   4.600   0.9993   0.00634   0.00196  -0.1066   0.1632   0.6059
   5.000   1.0415   0.00658   0.00221  -0.1063   0.1344   0.6832
   5.200   1.0627   0.00668   0.00234  -0.1062   0.1220   0.7257
   5.400   1.0835   0.00681   0.00247  -0.1060   0.1083   0.7680
   5.800   1.1252   0.00699   0.00274  -0.1056   0.0869   0.8642
   6.000   1.1453   0.00709   0.00289  -0.1052   0.0762   0.9138
   6.200   1.1633   0.00715   0.00304  -0.1043   0.0698   0.9704
   6.400   1.1857   0.00727   0.00315  -0.1044   0.0628   1.0000
   6.600   1.2066   0.00745   0.00328  -0.1042   0.0554   1.0000
   6.800   1.2273   0.00764   0.00342  -0.1040   0.0494   1.0000
   7.000   1.2486   0.00778   0.00354  -0.1039   0.0460   1.0000
   7.200   1.2692   0.00796   0.00368  -0.1037   0.0404   1.0000
   7.400   1.2899   0.00814   0.00382  -0.1034   0.0371   1.0000
   7.600   1.3108   0.00829   0.00395  -0.1033   0.0338   1.0000
   7.800   1.3315   0.00846   0.00409  -0.1030   0.0315   1.0000
   8.000   1.3521   0.00862   0.00423  -0.1028   0.0286   1.0000
   8.200   1.3726   0.00878   0.00437  -0.1026   0.0269   1.0000
   8.400   1.3929   0.00896   0.00453  -0.1023   0.0241   1.0000
   8.600   1.4134   0.00912   0.00467  -0.1021   0.0232   1.0000
   8.800   1.4334   0.00931   0.00483  -0.1018   0.0214   1.0000
   9.000   1.4537   0.00947   0.00498  -0.1015   0.0199   1.0000
   9.200   1.4738   0.00963   0.00513  -0.1012   0.0192   1.0000
   9.400   1.4934   0.00983   0.00531  -0.1009   0.0178   1.0000
   9.600   1.5131   0.01001   0.00547  -0.1005   0.0165   1.0000
   9.800   1.5328   0.01018   0.00563  -0.1002   0.0159   1.0000
  10.000   1.5520   0.01039   0.00582  -0.0997   0.0150   1.0000
  10.200   1.5711   0.01059   0.00601  -0.0993   0.0139   1.0000
  10.400   1.5904   0.01077   0.00618  -0.0989   0.0134   1.0000
  10.600   1.6094   0.01095   0.00636  -0.0985   0.0131   1.0000
  10.800   1.6279   0.01116   0.00656  -0.0979   0.0125   1.0000
  11.000   1.6460   0.01139   0.00677  -0.0973   0.0117   1.0000
  11.200   1.6641   0.01161   0.00698  -0.0967   0.0109   1.0000
  11.400   1.6823   0.01181   0.00718  -0.0961   0.0108   1.0000
  11.600   1.7000   0.01203   0.00739  -0.0955   0.0105   1.0000
  11.800   1.7171   0.01227   0.00762  -0.0947   0.0101   1.0000
  12.000   1.7333   0.01252   0.00787  -0.0938   0.0096   1.0000
  12.200   1.7492   0.01277   0.00811  -0.0928   0.0090   1.0000
  12.400   1.7639   0.01301   0.00835  -0.0916   0.0087   1.0000
  12.600   1.7780   0.01324   0.00859  -0.0902   0.0086   1.0000
  12.800   1.7916   0.01350   0.00884  -0.0889   0.0085   1.0000
  13.000   1.8053   0.01377   0.00912  -0.0875   0.0083   1.0000
  13.200   1.8183   0.01408   0.00943  -0.0861   0.0081   1.0000
  13.400   1.8310   0.01442   0.00977  -0.0847   0.0078   1.0000
  13.600   1.8433   0.01478   0.01013  -0.0832   0.0075   1.0000
  13.800   1.8557   0.01514   0.01050  -0.0818   0.0071   1.0000
  14.000   1.8678   0.01553   0.01089  -0.0804   0.0068   1.0000
  14.200   1.8806   0.01590   0.01126  -0.0791   0.0067   1.0000
  14.400   1.8926   0.01630   0.01167  -0.0778   0.0066   1.0000
  14.600   1.9049   0.01671   0.01209  -0.0765   0.0066   1.0000
  14.800   1.9162   0.01717   0.01256  -0.0751   0.0065   1.0000
  15.000   1.9273   0.01766   0.01305  -0.0738   0.0063   1.0000
  15.200   1.9376   0.01820   0.01360  -0.0724   0.0062   1.0000
  15.400   1.9477   0.01878   0.01420  -0.0710   0.0060   1.0000
  15.600   1.9567   0.01942   0.01484  -0.0695   0.0058   1.0000
  15.800   1.9662   0.02006   0.01549  -0.0681   0.0056   1.0000
  16.000   1.9748   0.02077   0.01622  -0.0667   0.0054   1.0000
