  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     4.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.800  -0.0666   0.00641   0.00158  -0.1030   0.7161   0.0335
  -4.600  -0.0437   0.00637   0.00151  -0.1031   0.7064   0.0350
  -4.400  -0.0209   0.00630   0.00143  -0.1031   0.6971   0.0380
  -4.200   0.0018   0.00627   0.00138  -0.1032   0.6864   0.0397
  -4.000   0.0247   0.00622   0.00131  -0.1032   0.6770   0.0429
  -3.800   0.0475   0.00619   0.00126  -0.1033   0.6665   0.0457
  -3.600   0.0703   0.00616   0.00121  -0.1033   0.6559   0.0488
  -3.400   0.0931   0.00611   0.00115  -0.1034   0.6463   0.0531
  -3.200   0.1159   0.00610   0.00111  -0.1035   0.6353   0.0566
  -3.000   0.1387   0.00606   0.00107  -0.1035   0.6249   0.0616
  -2.800   0.1615   0.00604   0.00103  -0.1036   0.6151   0.0662
  -2.600   0.1842   0.00602   0.00100  -0.1036   0.6039   0.0724
  -2.400   0.2071   0.00600   0.00097  -0.1037   0.5946   0.0784
  -2.200   0.2299   0.00598   0.00095  -0.1038   0.5845   0.0846
  -2.000   0.2526   0.00596   0.00093  -0.1038   0.5743   0.0935
  -1.800   0.2755   0.00596   0.00091  -0.1039   0.5653   0.0993
  -1.600   0.2982   0.00594   0.00089  -0.1040   0.5548   0.1102
  -1.400   0.3211   0.00592   0.00088  -0.1041   0.5471   0.1203
  -1.200   0.3438   0.00593   0.00087  -0.1041   0.5375   0.1292
  -1.000   0.3667   0.00591   0.00087  -0.1042   0.5294   0.1412
  -0.800   0.3894   0.00590   0.00087  -0.1043   0.5210   0.1542
  -0.600   0.4123   0.00588   0.00087  -0.1044   0.5137   0.1677
  -0.400   0.4350   0.00588   0.00088  -0.1045   0.5055   0.1818
  -0.200   0.4580   0.00587   0.00088  -0.1046   0.4995   0.1958
   0.000   0.4806   0.00588   0.00090  -0.1046   0.4914   0.2114
   0.200   0.5036   0.00586   0.00091  -0.1047   0.4861   0.2280
   0.400   0.5264   0.00585   0.00092  -0.1048   0.4799   0.2465
   0.600   0.5491   0.00585   0.00094  -0.1049   0.4731   0.2660
   0.800   0.5720   0.00582   0.00096  -0.1050   0.4687   0.2874
   1.000   0.5947   0.00582   0.00099  -0.1051   0.4627   0.3095
   1.200   0.6174   0.00580   0.00102  -0.1052   0.4569   0.3376
   1.400   0.6403   0.00576   0.00104  -0.1054   0.4530   0.3695
   1.600   0.6628   0.00569   0.00108  -0.1055   0.4476   0.4243
   1.800   0.6851   0.00560   0.00113  -0.1055   0.4415   0.4980
   2.000   0.7077   0.00548   0.00117  -0.1057   0.4382   0.5703
   2.200   0.7301   0.00541   0.00122  -0.1057   0.4334   0.6277
   2.400   0.7522   0.00536   0.00128  -0.1058   0.4269   0.6881
   2.600   0.7746   0.00526   0.00134  -0.1058   0.4232   0.7538
   2.800   0.7963   0.00516   0.00140  -0.1057   0.4182   0.8239
   3.000   0.8164   0.00507   0.00147  -0.1052   0.4114   0.8993
   3.200   0.8341   0.00499   0.00153  -0.1040   0.4069   0.9676
   3.400   0.8622   0.00506   0.00158  -0.1053   0.3987   0.9956
   3.600   0.8866   0.00515   0.00163  -0.1058   0.3902   1.0000
   3.800   0.9082   0.00527   0.00170  -0.1057   0.3786   1.0000
   4.000   0.9301   0.00538   0.00176  -0.1056   0.3686   1.0000
   4.200   0.9516   0.00551   0.00184  -0.1055   0.3568   1.0000
   4.400   0.9729   0.00566   0.00193  -0.1053   0.3436   1.0000
   4.600   0.9941   0.00582   0.00202  -0.1051   0.3298   1.0000
   4.800   1.0151   0.00599   0.00213  -0.1049   0.3155   1.0000
   5.000   1.0360   0.00618   0.00224  -0.1047   0.3006   1.0000
   5.200   1.0567   0.00637   0.00236  -0.1045   0.2852   1.0000
   5.400   1.0772   0.00658   0.00249  -0.1042   0.2687   1.0000
   5.600   1.0975   0.00681   0.00263  -0.1039   0.2519   1.0000
   5.800   1.1175   0.00705   0.00279  -0.1035   0.2339   1.0000
   6.000   1.1367   0.00736   0.00299  -0.1030   0.2122   1.0000
   6.200   1.1564   0.00762   0.00316  -0.1026   0.1944   1.0000
   6.400   1.1755   0.00793   0.00336  -0.1021   0.1743   1.0000
   6.600   1.1941   0.00827   0.00359  -0.1016   0.1538   1.0000
   6.800   1.2132   0.00856   0.00379  -0.1011   0.1368   1.0000
   7.000   1.2317   0.00890   0.00403  -0.1005   0.1190   1.0000
   7.200   1.2504   0.00922   0.00426  -0.0999   0.1042   1.0000
   7.400   1.2691   0.00952   0.00449  -0.0994   0.0912   1.0000
   7.600   1.2877   0.00983   0.00472  -0.0988   0.0793   1.0000
   7.800   1.3065   0.01011   0.00494  -0.0983   0.0701   1.0000
   8.000   1.3255   0.01036   0.00516  -0.0978   0.0627   1.0000
   8.200   1.3441   0.01064   0.00539  -0.0972   0.0554   1.0000
   8.400   1.3624   0.01093   0.00563  -0.0966   0.0494   1.0000
   8.600   1.3813   0.01117   0.00584  -0.0961   0.0450   1.0000
   8.800   1.3995   0.01144   0.00608  -0.0955   0.0403   1.0000
   9.000   1.4182   0.01168   0.00630  -0.0950   0.0377   1.0000
   9.200   1.4361   0.01196   0.00655  -0.0943   0.0341   1.0000
   9.400   1.4543   0.01220   0.00678  -0.0937   0.0320   1.0000
   9.600   1.4715   0.01249   0.00705  -0.0930   0.0288   1.0000
   9.800   1.4895   0.01273   0.00728  -0.0923   0.0275   1.0000
  10.000   1.5065   0.01301   0.00755  -0.0915   0.0256   1.0000
  10.200   1.5233   0.01329   0.00782  -0.0907   0.0239   1.0000
  10.400   1.5401   0.01354   0.00807  -0.0899   0.0229   1.0000
  10.600   1.5552   0.01384   0.00836  -0.0887   0.0216   1.0000
  10.800   1.5690   0.01414   0.00866  -0.0873   0.0200   1.0000
  11.000   1.5837   0.01441   0.00894  -0.0861   0.0195   1.0000
  11.200   1.5976   0.01472   0.00925  -0.0848   0.0186   1.0000
  11.400   1.6106   0.01509   0.00961  -0.0834   0.0175   1.0000
  11.600   1.6239   0.01544   0.00997  -0.0820   0.0165   1.0000
  11.800   1.6378   0.01577   0.01031  -0.0808   0.0162   1.0000
  12.000   1.6512   0.01613   0.01068  -0.0795   0.0156   1.0000
  12.200   1.6636   0.01655   0.01110  -0.0781   0.0150   1.0000
  12.400   1.6755   0.01701   0.01157  -0.0767   0.0142   1.0000
  12.600   1.6870   0.01749   0.01206  -0.0753   0.0135   1.0000
  12.800   1.6999   0.01790   0.01249  -0.0741   0.0133   1.0000
  13.000   1.7120   0.01837   0.01298  -0.0728   0.0130   1.0000
  13.200   1.7236   0.01888   0.01350  -0.0715   0.0127   1.0000
  13.400   1.7339   0.01946   0.01409  -0.0701   0.0122   1.0000
  13.600   1.7441   0.02008   0.01472  -0.0687   0.0117   1.0000
  13.800   1.7530   0.02079   0.01545  -0.0672   0.0111   1.0000
  14.000   1.7633   0.02142   0.01611  -0.0660   0.0109   1.0000
  14.200   1.7737   0.02207   0.01678  -0.0648   0.0107   1.0000
  14.400   1.7836   0.02277   0.01751  -0.0636   0.0106   1.0000
  14.600   1.7930   0.02353   0.01828  -0.0624   0.0103   1.0000
  14.800   1.8013   0.02436   0.01914  -0.0612   0.0101   1.0000
  15.000   1.8092   0.02525   0.02005  -0.0599   0.0098   1.0000
  15.200   1.8164   0.02623   0.02105  -0.0587   0.0096   1.0000
  15.400   1.8226   0.02730   0.02215  -0.0575   0.0093   1.0000
  15.600   1.8277   0.02848   0.02337  -0.0562   0.0089   1.0000
  15.800   1.8330   0.02967   0.02459  -0.0551   0.0087   1.0000
  16.000   1.8399   0.03078   0.02573  -0.0541   0.0086   1.0000
