  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0805   0.00862   0.00300  -0.1049   0.8480   0.0450
  -4.900  -0.0693   0.00857   0.00294  -0.1049   0.8445   0.0460
  -4.800  -0.0580   0.00852   0.00288  -0.1049   0.8407   0.0469
  -4.700  -0.0471   0.00840   0.00275  -0.1048   0.8367   0.0491
  -4.600  -0.0361   0.00833   0.00268  -0.1048   0.8330   0.0507
  -4.500  -0.0249   0.00829   0.00262  -0.1048   0.8295   0.0523
  -4.400  -0.0136   0.00824   0.00257  -0.1048   0.8257   0.0537
  -4.300  -0.0024   0.00819   0.00249  -0.1047   0.8217   0.0553
  -4.200   0.0086   0.00810   0.00241  -0.1047   0.8177   0.0578
  -4.100   0.0197   0.00805   0.00235  -0.1046   0.8140   0.0600
  -4.000   0.0310   0.00801   0.00230  -0.1046   0.8099   0.0619
  -3.900   0.0423   0.00798   0.00225  -0.1046   0.8055   0.0634
  -3.800   0.0532   0.00790   0.00217  -0.1046   0.8012   0.0670
  -3.700   0.0643   0.00785   0.00212  -0.1045   0.7972   0.0699
  -3.600   0.0756   0.00781   0.00208  -0.1045   0.7928   0.0724
  -3.500   0.0868   0.00778   0.00203  -0.1045   0.7883   0.0747
  -3.400   0.0978   0.00773   0.00197  -0.1044   0.7839   0.0788
  -3.300   0.1090   0.00768   0.00193  -0.1044   0.7798   0.0823
  -3.200   0.1203   0.00766   0.00189  -0.1044   0.7751   0.0850
  -3.100   0.1313   0.00761   0.00184  -0.1044   0.7703   0.0898
  -3.000   0.1423   0.00757   0.00180  -0.1043   0.7659   0.0942
  -2.900   0.1536   0.00754   0.00177  -0.1043   0.7611   0.0977
  -2.800   0.1648   0.00750   0.00173  -0.1043   0.7562   0.1030
  -2.700   0.1757   0.00747   0.00169  -0.1042   0.7514   0.1080
  -2.600   0.1870   0.00745   0.00167  -0.1042   0.7468   0.1121
  -2.500   0.1981   0.00740   0.00164  -0.1042   0.7417   0.1189
  -2.400   0.2092   0.00738   0.00161  -0.1042   0.7368   0.1246
  -2.300   0.2203   0.00736   0.00158  -0.1041   0.7320   0.1303
  -2.200   0.2315   0.00732   0.00156  -0.1041   0.7268   0.1371
  -2.000   0.2535   0.00728   0.00151  -0.1040   0.7166   0.1510
  -1.900   0.2648   0.00726   0.00149  -0.1040   0.7113   0.1575
  -1.800   0.2758   0.00724   0.00148  -0.1040   0.7059   0.1655
  -1.700   0.2868   0.00723   0.00146  -0.1039   0.7009   0.1732
  -1.600   0.2980   0.00720   0.00145  -0.1039   0.6957   0.1818
  -1.500   0.3091   0.00719   0.00143  -0.1039   0.6902   0.1901
  -1.400   0.3199   0.00717   0.00142  -0.1038   0.6849   0.1996
  -1.200   0.3422   0.00713   0.00141  -0.1038   0.6740   0.2189
  -1.100   0.3531   0.00713   0.00140  -0.1037   0.6687   0.2285
  -1.000   0.3643   0.00711   0.00140  -0.1037   0.6635   0.2390
  -0.900   0.3753   0.00709   0.00139  -0.1037   0.6580   0.2503
  -0.800   0.3862   0.00709   0.00139  -0.1036   0.6526   0.2616
  -0.700   0.3974   0.00707   0.00139  -0.1037   0.6474   0.2738
  -0.600   0.4084   0.00705   0.00139  -0.1036   0.6418   0.2872
  -0.500   0.4192   0.00705   0.00140  -0.1036   0.6364   0.3005
  -0.400   0.4304   0.00702   0.00140  -0.1036   0.6313   0.3152
  -0.300   0.4414   0.00700   0.00140  -0.1035   0.6259   0.3309
  -0.200   0.4521   0.00699   0.00141  -0.1035   0.6206   0.3482
  -0.100   0.4632   0.00694   0.00141  -0.1035   0.6156   0.3690
   0.000   0.4741   0.00690   0.00142  -0.1035   0.6103   0.3934
   0.100   0.4847   0.00683   0.00143  -0.1034   0.6051   0.4321
   0.200   0.4953   0.00671   0.00145  -0.1034   0.6004   0.4861
   0.300   0.5059   0.00659   0.00148  -0.1033   0.5953   0.5422
   0.400   0.5163   0.00650   0.00151  -0.1032   0.5903   0.5929
   0.500   0.5266   0.00642   0.00153  -0.1031   0.5857   0.6408
   0.600   0.5371   0.00632   0.00156  -0.1029   0.5810   0.6878
   0.700   0.5470   0.00623   0.00159  -0.1027   0.5762   0.7369
   0.800   0.5564   0.00615   0.00163  -0.1023   0.5716   0.7858
   0.900   0.5656   0.00604   0.00167  -0.1017   0.5675   0.8362
   1.000   0.5736   0.00595   0.00171  -0.1009   0.5632   0.8877
   1.100   0.5820   0.00590   0.00174  -0.1000   0.5588   0.9365
   1.200   0.5980   0.00593   0.00176  -0.1010   0.5543   0.9714
   1.300   0.6161   0.00595   0.00177  -0.1025   0.5499   0.9893
   1.400   0.6336   0.00599   0.00178  -0.1040   0.5453   0.9995
   1.500   0.6444   0.00604   0.00180  -0.1039   0.5411   1.0000
   1.600   0.6549   0.00609   0.00182  -0.1037   0.5374   1.0000
   1.700   0.6657   0.00612   0.00184  -0.1036   0.5337   1.0000
   1.800   0.6764   0.00616   0.00186  -0.1035   0.5298   1.0000
   1.900   0.6869   0.00622   0.00189  -0.1034   0.5260   1.0000
   2.000   0.6974   0.00627   0.00191  -0.1033   0.5224   1.0000
   2.100   0.7084   0.00630   0.00193  -0.1032   0.5192   1.0000
   2.200   0.7192   0.00634   0.00195  -0.1031   0.5157   1.0000
   2.300   0.7300   0.00639   0.00198  -0.1030   0.5122   1.0000
   2.400   0.7406   0.00644   0.00201  -0.1029   0.5088   1.0000
   2.500   0.7512   0.00650   0.00204  -0.1028   0.5056   1.0000
   2.600   0.7623   0.00653   0.00206  -0.1028   0.5027   1.0000
   2.700   0.7732   0.00657   0.00209  -0.1027   0.4995   1.0000
   2.800   0.7840   0.00661   0.00212  -0.1026   0.4963   1.0000
   2.900   0.7946   0.00667   0.00216  -0.1025   0.4931   1.0000
   3.000   0.8052   0.00674   0.00219  -0.1024   0.4899   1.0000
   3.100   0.8163   0.00676   0.00222  -0.1024   0.4873   1.0000
   3.200   0.8272   0.00680   0.00225  -0.1024   0.4844   1.0000
   3.300   0.8381   0.00685   0.00229  -0.1023   0.4814   1.0000
   3.400   0.8488   0.00690   0.00232  -0.1022   0.4783   1.0000
   3.500   0.8594   0.00697   0.00237  -0.1021   0.4752   1.0000
   3.600   0.8703   0.00701   0.00241  -0.1020   0.4726   1.0000
   3.700   0.8813   0.00705   0.00244  -0.1020   0.4698   1.0000
   3.800   0.8922   0.00709   0.00248  -0.1020   0.4668   1.0000
