  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    16.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.900  -0.0831   0.00556   0.00121  -0.1024   0.5581   0.0240
  -4.800  -0.0714   0.00554   0.00118  -0.1025   0.5542   0.0244
  -4.700  -0.0598   0.00553   0.00116  -0.1026   0.5511   0.0247
  -4.600  -0.0483   0.00552   0.00115  -0.1026   0.5457   0.0252
  -4.500  -0.0368   0.00551   0.00113  -0.1027   0.5394   0.0265
  -4.400  -0.0251   0.00548   0.00110  -0.1027   0.5370   0.0274
  -4.300  -0.0135   0.00546   0.00107  -0.1028   0.5340   0.0282
  -4.200  -0.0020   0.00546   0.00106  -0.1029   0.5290   0.0287
  -4.100   0.0095   0.00545   0.00104  -0.1029   0.5230   0.0290
  -4.000   0.0212   0.00544   0.00102  -0.1030   0.5205   0.0295
  -3.900   0.0328   0.00542   0.00101  -0.1030   0.5170   0.0308
  -3.800   0.0443   0.00541   0.00099  -0.1031   0.5124   0.0321
  -3.700   0.0559   0.00540   0.00097  -0.1031   0.5068   0.0332
  -3.600   0.0675   0.00538   0.00095  -0.1032   0.5047   0.0338
  -3.500   0.0792   0.00537   0.00094  -0.1033   0.5016   0.0343
  -3.400   0.0907   0.00536   0.00092  -0.1034   0.4978   0.0362
  -3.300   0.1022   0.00536   0.00091  -0.1034   0.4919   0.0376
  -3.200   0.1139   0.00534   0.00089  -0.1035   0.4893   0.0390
  -3.100   0.1255   0.00532   0.00088  -0.1035   0.4870   0.0396
  -3.000   0.1372   0.00532   0.00087  -0.1036   0.4839   0.0401
  -2.900   0.1487   0.00532   0.00086  -0.1037   0.4801   0.0425
  -2.800   0.1603   0.00530   0.00085  -0.1037   0.4752   0.0444
  -2.700   0.1719   0.00528   0.00083  -0.1038   0.4731   0.0460
  -2.600   0.1836   0.00527   0.00082  -0.1039   0.4713   0.0466
  -2.500   0.1953   0.00527   0.00081  -0.1040   0.4689   0.0486
  -2.400   0.2068   0.00526   0.00080  -0.1040   0.4653   0.0512
  -2.300   0.2184   0.00525   0.00079  -0.1041   0.4618   0.0532
  -2.200   0.2300   0.00524   0.00078  -0.1042   0.4578   0.0541
  -2.100   0.2417   0.00523   0.00077  -0.1042   0.4567   0.0561
  -2.000   0.2534   0.00521   0.00076  -0.1043   0.4552   0.0597
  -1.900   0.2650   0.00519   0.00075  -0.1044   0.4528   0.0621
  -1.800   0.2766   0.00519   0.00075  -0.1045   0.4502   0.0631
  -1.700   0.2882   0.00520   0.00075  -0.1045   0.4464   0.0649
  -1.600   0.2998   0.00519   0.00074  -0.1046   0.4431   0.0686
  -1.500   0.3114   0.00517   0.00073  -0.1047   0.4413   0.0717
  -1.400   0.3231   0.00516   0.00072  -0.1048   0.4403   0.0735
  -1.300   0.3348   0.00515   0.00072  -0.1049   0.4388   0.0766
  -1.200   0.3465   0.00514   0.00072  -0.1049   0.4368   0.0809
  -1.100   0.3580   0.00513   0.00071  -0.1050   0.4345   0.0837
  -1.000   0.3696   0.00513   0.00071  -0.1051   0.4317   0.0860
  -0.900   0.3812   0.00513   0.00071  -0.1051   0.4285   0.0896
  -0.800   0.3928   0.00511   0.00071  -0.1052   0.4255   0.0950
  -0.700   0.4045   0.00510   0.00070  -0.1053   0.4249   0.0974
  -0.600   0.4163   0.00510   0.00070  -0.1054   0.4239   0.0995
  -0.500   0.4279   0.00509   0.00070  -0.1055   0.4223   0.1059
  -0.400   0.4395   0.00507   0.00070  -0.1056   0.4203   0.1106
  -0.300   0.4511   0.00508   0.00070  -0.1056   0.4178   0.1121
  -0.200   0.4626   0.00509   0.00071  -0.1057   0.4150   0.1176
  -0.100   0.4742   0.00508   0.00071  -0.1058   0.4119   0.1236
   0.000   0.4858   0.00507   0.00071  -0.1058   0.4095   0.1266
   0.100   0.4975   0.00507   0.00071  -0.1059   0.4088   0.1310
   0.200   0.5092   0.00505   0.00071  -0.1060   0.4079   0.1372
   0.300   0.5208   0.00505   0.00072  -0.1061   0.4063   0.1409
   0.400   0.5324   0.00506   0.00072  -0.1062   0.4038   0.1431
   0.500   0.5438   0.00506   0.00073  -0.1062   0.3999   0.1531
   0.600   0.5553   0.00507   0.00074  -0.1063   0.3952   0.1570
   0.700   0.5669   0.00507   0.00075  -0.1064   0.3934   0.1614
   0.800   0.5785   0.00506   0.00075  -0.1065   0.3919   0.1697
   0.900   0.5901   0.00506   0.00076  -0.1065   0.3900   0.1735
   1.000   0.6015   0.00508   0.00077  -0.1066   0.3855   0.1796
   1.100   0.6128   0.00509   0.00079  -0.1066   0.3806   0.1867
   1.200   0.6244   0.00510   0.00079  -0.1067   0.3776   0.1906
   1.300   0.6360   0.00510   0.00080  -0.1068   0.3757   0.1992
   1.400   0.6473   0.00512   0.00082  -0.1068   0.3711   0.2045
   1.500   0.6586   0.00515   0.00084  -0.1068   0.3655   0.2086
   1.600   0.6701   0.00514   0.00085  -0.1069   0.3620   0.2204
   1.700   0.6816   0.00516   0.00086  -0.1070   0.3592   0.2237
   1.800   0.6928   0.00518   0.00088  -0.1070   0.3543   0.2319
   1.900   0.7040   0.00521   0.00091  -0.1070   0.3472   0.2381
   2.000   0.7155   0.00522   0.00092  -0.1071   0.3448   0.2467
   2.100   0.7267   0.00525   0.00094  -0.1071   0.3398   0.2550
   2.200   0.7379   0.00529   0.00097  -0.1071   0.3321   0.2593
   2.300   0.7493   0.00530   0.00099  -0.1072   0.3289   0.2708
   2.400   0.7603   0.00535   0.00102  -0.1071   0.3216   0.2753
   2.500   0.7715   0.00537   0.00104  -0.1072   0.3157   0.2874
   2.600   0.7827   0.00540   0.00107  -0.1072   0.3108   0.2932
   2.700   0.7936   0.00546   0.00111  -0.1072   0.3009   0.3033
   2.800   0.8048   0.00549   0.00113  -0.1072   0.2967   0.3099
   2.900   0.8156   0.00555   0.00118  -0.1071   0.2872   0.3227
   3.000   0.8268   0.00557   0.00120  -0.1072   0.2827   0.3328
   3.100   0.8375   0.00564   0.00125  -0.1071   0.2731   0.3422
   3.200   0.8487   0.00566   0.00128  -0.1071   0.2675   0.3566
   3.300   0.8593   0.00574   0.00133  -0.1071   0.2568   0.3685
   3.400   0.8705   0.00576   0.00136  -0.1071   0.2525   0.3807
   3.500   0.8811   0.00582   0.00142  -0.1070   0.2427   0.3999
   3.600   0.8922   0.00584   0.00144  -0.1070   0.2379   0.4167
   3.800   0.9137   0.00592   0.00154  -0.1070   0.2217   0.4660
   3.900   0.9243   0.00598   0.00160  -0.1069   0.2129   0.4876
   4.000   0.9353   0.00600   0.00164  -0.1069   0.2078   0.5047
   4.100   0.9458   0.00608   0.00170  -0.1068   0.1980   0.5220
   4.400   0.9780   0.00623   0.00186  -0.1067   0.1769   0.5727
   4.500   0.9885   0.00630   0.00192  -0.1066   0.1673   0.5898
   4.600   0.9993   0.00634   0.00196  -0.1066   0.1632   0.6058
   4.700   1.0097   0.00642   0.00203  -0.1065   0.1528   0.6260
   4.900   1.0309   0.00653   0.00215  -0.1063   0.1392   0.6632
   5.000   1.0415   0.00658   0.00221  -0.1063   0.1344   0.6832
   5.100   1.0519   0.00664   0.00228  -0.1062   0.1257   0.7046
   5.200   1.0627   0.00668   0.00234  -0.1062   0.1220   0.7257
   5.300   1.0729   0.00676   0.00241  -0.1060   0.1124   0.7474
   5.400   1.0835   0.00681   0.00247  -0.1060   0.1083   0.7680
   5.500   1.0938   0.00687   0.00256  -0.1058   0.1009   0.7924
   5.700   1.1147   0.00696   0.00268  -0.1057   0.0921   0.8371
   5.800   1.1252   0.00699   0.00274  -0.1056   0.0869   0.8642
   5.900   1.1353   0.00705   0.00283  -0.1054   0.0818   0.8874
   6.000   1.1453   0.00709   0.00289  -0.1052   0.0762   0.9138
   6.100   1.1550   0.00710   0.00296  -0.1049   0.0738   0.9428
   6.200   1.1633   0.00715   0.00304  -0.1043   0.0698   0.9704
   6.300   1.1733   0.00719   0.00309  -0.1041   0.0655   0.9925
   6.400   1.1857   0.00727   0.00315  -0.1044   0.0628   1.0000
   6.500   1.1959   0.00739   0.00323  -0.1043   0.0577   1.0000
   6.600   1.2066   0.00745   0.00328  -0.1042   0.0554   1.0000
   6.700   1.2170   0.00754   0.00335  -0.1041   0.0528   1.0000
   6.800   1.2273   0.00764   0.00342  -0.1040   0.0494   1.0000
   6.900   1.2380   0.00770   0.00348  -0.1040   0.0475   1.0000
   7.000   1.2486   0.00778   0.00354  -0.1039   0.0460   1.0000
   7.100   1.2588   0.00788   0.00362  -0.1037   0.0434   1.0000
   7.200   1.2692   0.00796   0.00368  -0.1037   0.0404   1.0000
   7.300   1.2797   0.00804   0.00375  -0.1036   0.0391   1.0000
   7.400   1.2899   0.00814   0.00382  -0.1034   0.0370   1.0000
   7.500   1.3003   0.00822   0.00389  -0.1033   0.0347   1.0000
   7.600   1.3108   0.00829   0.00395  -0.1033   0.0338   1.0000
   7.700   1.3213   0.00836   0.00401  -0.1032   0.0329   1.0000
   7.800   1.3315   0.00846   0.00409  -0.1030   0.0315   1.0000
   7.900   1.3417   0.00855   0.00417  -0.1029   0.0298   1.0000
   8.000   1.3521   0.00862   0.00423  -0.1028   0.0286   1.0000
   8.100   1.3625   0.00869   0.00429  -0.1027   0.0281   1.0000
   8.200   1.3726   0.00878   0.00437  -0.1026   0.0269   1.0000
   8.300   1.3826   0.00888   0.00446  -0.1024   0.0253   1.0000
   8.400   1.3929   0.00896   0.00453  -0.1023   0.0241   1.0000
   8.500   1.4032   0.00904   0.00459  -0.1022   0.0237   1.0000
   8.600   1.4134   0.00912   0.00467  -0.1021   0.0232   1.0000
   8.700   1.4235   0.00921   0.00475  -0.1019   0.0223   1.0000
   8.800   1.4334   0.00931   0.00483  -0.1018   0.0214   1.0000
   8.900   1.4435   0.00939   0.00491  -0.1016   0.0203   1.0000
   9.000   1.4537   0.00947   0.00498  -0.1015   0.0199   1.0000
   9.100   1.4638   0.00954   0.00505  -0.1014   0.0197   1.0000
   9.200   1.4738   0.00963   0.00513  -0.1012   0.0192   1.0000
   9.300   1.4837   0.00973   0.00521  -0.1011   0.0186   1.0000
   9.400   1.4934   0.00983   0.00531  -0.1009   0.0178   1.0000
   9.500   1.5032   0.00993   0.00539  -0.1007   0.0168   1.0000
   9.600   1.5131   0.01001   0.00547  -0.1005   0.0165   1.0000
   9.700   1.5230   0.01009   0.00555  -0.1004   0.0163   1.0000
   9.800   1.5328   0.01018   0.00563  -0.1002   0.0159   1.0000
   9.900   1.5425   0.01028   0.00572  -0.1000   0.0155   1.0000
  10.000   1.5520   0.01039   0.00582  -0.0997   0.0150   1.0000
  10.100   1.5615   0.01049   0.00592  -0.0995   0.0145   1.0000
  10.200   1.5711   0.01059   0.00601  -0.0993   0.0139   1.0000
  10.300   1.5807   0.01068   0.00609  -0.0991   0.0135   1.0000
  10.400   1.5904   0.01077   0.00618  -0.0989   0.0134   1.0000
  10.500   1.5999   0.01086   0.00627  -0.0987   0.0133   1.0000
