  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    53.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.900  -0.0856   0.00506   0.00106  -0.1023   0.4346   0.0180
  -4.800  -0.0740   0.00504   0.00104  -0.1024   0.4314   0.0187
  -4.700  -0.0623   0.00503   0.00102  -0.1025   0.4282   0.0193
  -4.600  -0.0505   0.00500   0.00100  -0.1025   0.4257   0.0199
  -4.500  -0.0388   0.00498   0.00098  -0.1026   0.4252   0.0203
  -4.400  -0.0270   0.00496   0.00096  -0.1027   0.4245   0.0206
  -4.300  -0.0153   0.00494   0.00095  -0.1028   0.4231   0.0208
  -4.200  -0.0036   0.00493   0.00093  -0.1029   0.4214   0.0209
  -4.100   0.0081   0.00493   0.00092  -0.1030   0.4188   0.0214
  -4.000   0.0198   0.00491   0.00091  -0.1030   0.4166   0.0230
  -3.900   0.0315   0.00489   0.00089  -0.1031   0.4130   0.0238
  -3.800   0.0432   0.00487   0.00088  -0.1032   0.4104   0.0243
  -3.700   0.0550   0.00486   0.00086  -0.1033   0.4094   0.0246
  -3.600   0.0668   0.00484   0.00085  -0.1034   0.4091   0.0247
  -3.500   0.0786   0.00483   0.00084  -0.1035   0.4086   0.0254
  -3.400   0.0903   0.00481   0.00082  -0.1036   0.4077   0.0266
  -3.300   0.1020   0.00480   0.00081  -0.1036   0.4051   0.0274
  -3.200   0.1136   0.00480   0.00080  -0.1037   0.4018   0.0283
  -3.100   0.1253   0.00479   0.00080  -0.1038   0.3981   0.0289
  -3.000   0.1370   0.00478   0.00079  -0.1039   0.3950   0.0291
  -2.900   0.1488   0.00477   0.00077  -0.1040   0.3936   0.0300
  -2.800   0.1606   0.00475   0.00076  -0.1041   0.3927   0.0322
  -2.700   0.1723   0.00474   0.00075  -0.1041   0.3910   0.0334
  -2.600   0.1839   0.00474   0.00075  -0.1042   0.3877   0.0339
  -2.500   0.1955   0.00475   0.00074  -0.1043   0.3840   0.0341
  -2.400   0.2072   0.00475   0.00074  -0.1044   0.3794   0.0352
  -2.300   0.2190   0.00474   0.00073  -0.1045   0.3778   0.0367
  -2.200   0.2307   0.00472   0.00072  -0.1045   0.3770   0.0386
  -2.100   0.2424   0.00471   0.00071  -0.1046   0.3751   0.0397
  -2.000   0.2540   0.00472   0.00071  -0.1047   0.3712   0.0399
  -1.900   0.2656   0.00473   0.00072  -0.1048   0.3660   0.0421
  -1.800   0.2773   0.00472   0.00070  -0.1049   0.3625   0.0442
  -1.700   0.2891   0.00471   0.00070  -0.1049   0.3615   0.0457
  -1.600   0.3008   0.00470   0.00070  -0.1050   0.3597   0.0464
  -1.500   0.3123   0.00472   0.00070  -0.1051   0.3550   0.0476
  -1.400   0.3239   0.00472   0.00070  -0.1051   0.3494   0.0512
  -1.300   0.3356   0.00471   0.00069  -0.1052   0.3468   0.0531
  -1.200   0.3473   0.00471   0.00069  -0.1053   0.3458   0.0541
  -1.100   0.3589   0.00472   0.00070  -0.1054   0.3427   0.0547
  -1.000   0.3704   0.00474   0.00070  -0.1055   0.3371   0.0567
  -0.900   0.3820   0.00473   0.00070  -0.1055   0.3321   0.0610
  -0.800   0.3937   0.00473   0.00070  -0.1056   0.3305   0.0628
  -0.700   0.4053   0.00474   0.00070  -0.1057   0.3276   0.0633
  -0.600   0.4168   0.00477   0.00071  -0.1057   0.3220   0.0658
  -0.500   0.4284   0.00477   0.00071  -0.1058   0.3164   0.0692
  -0.400   0.4401   0.00476   0.00071  -0.1059   0.3151   0.0731
  -0.300   0.4516   0.00478   0.00072  -0.1060   0.3115   0.0736
  -0.200   0.4631   0.00480   0.00074  -0.1060   0.3058   0.0763
  -0.100   0.4747   0.00481   0.00074  -0.1061   0.3007   0.0795
   0.000   0.4863   0.00480   0.00074  -0.1062   0.2990   0.0835
   0.100   0.4977   0.00483   0.00075  -0.1062   0.2944   0.0852
   0.200   0.5092   0.00486   0.00077  -0.1063   0.2865   0.0877
   0.300   0.5208   0.00486   0.00077  -0.1063   0.2846   0.0916
   0.400   0.5324   0.00486   0.00077  -0.1064   0.2823   0.0951
   0.500   0.5436   0.00490   0.00080  -0.1064   0.2729   0.0977
   0.600   0.5552   0.00492   0.00080  -0.1065   0.2698   0.0985
   0.700   0.5666   0.00494   0.00082  -0.1065   0.2654   0.1049
   0.800   0.5780   0.00497   0.00084  -0.1066   0.2580   0.1084
   0.900   0.5895   0.00498   0.00084  -0.1066   0.2542   0.1111
   1.000   0.6009   0.00501   0.00086  -0.1067   0.2501   0.1131
   1.100   0.6122   0.00505   0.00089  -0.1067   0.2414   0.1186
   1.200   0.6238   0.00505   0.00089  -0.1068   0.2392   0.1238
   1.300   0.6350   0.00508   0.00091  -0.1068   0.2341   0.1261
   1.400   0.6464   0.00512   0.00093  -0.1068   0.2255   0.1268
   1.500   0.6577   0.00515   0.00095  -0.1069   0.2213   0.1354
   1.600   0.6689   0.00519   0.00098  -0.1069   0.2120   0.1398
   1.700   0.6804   0.00520   0.00098  -0.1070   0.2101   0.1416
   1.800   0.6917   0.00524   0.00101  -0.1070   0.2059   0.1442
   1.900   0.7029   0.00528   0.00103  -0.1070   0.1960   0.1529
   2.000   0.7141   0.00532   0.00106  -0.1070   0.1915   0.1566
   2.100   0.7254   0.00536   0.00109  -0.1070   0.1858   0.1577
   2.200   0.7368   0.00538   0.00110  -0.1071   0.1807   0.1620
   2.300   0.7480   0.00542   0.00113  -0.1071   0.1762   0.1694
   2.400   0.7592   0.00546   0.00116  -0.1071   0.1680   0.1734
   2.500   0.7706   0.00549   0.00118  -0.1072   0.1655   0.1751
   2.600   0.7816   0.00555   0.00121  -0.1072   0.1582   0.1805
   2.700   0.7930   0.00557   0.00123  -0.1072   0.1526   0.1870
   2.800   0.8042   0.00562   0.00126  -0.1072   0.1485   0.1898
   2.900   0.8152   0.00567   0.00130  -0.1072   0.1396   0.1967
   3.000   0.8266   0.00569   0.00132  -0.1073   0.1374   0.2028
   3.100   0.8376   0.00575   0.00136  -0.1072   0.1317   0.2061
   3.200   0.8489   0.00578   0.00139  -0.1073   0.1267   0.2105
   3.300   0.8603   0.00580   0.00140  -0.1073   0.1243   0.2189
   3.400   0.8710   0.00588   0.00146  -0.1073   0.1147   0.2218
   3.500   0.8824   0.00590   0.00147  -0.1073   0.1118   0.2255
   3.600   0.8936   0.00594   0.00150  -0.1073   0.1093   0.2309
   3.700   0.9045   0.00600   0.00155  -0.1073   0.1025   0.2383
   3.900   0.9270   0.00606   0.00160  -0.1074   0.0967   0.2500
   4.000   0.9379   0.00612   0.00165  -0.1073   0.0901   0.2551
   4.200   0.9602   0.00620   0.00171  -0.1074   0.0845   0.2650
   4.400   0.9824   0.00628   0.00178  -0.1074   0.0761   0.2765
   4.500   0.9935   0.00633   0.00182  -0.1074   0.0736   0.2848
   4.600   1.0044   0.00638   0.00187  -0.1074   0.0696   0.2905
   4.700   1.0155   0.00642   0.00190  -0.1074   0.0654   0.2953
   4.800   1.0267   0.00645   0.00193  -0.1074   0.0648   0.3053
   4.900   1.0376   0.00651   0.00198  -0.1074   0.0615   0.3082
   5.000   1.0485   0.00656   0.00202  -0.1073   0.0561   0.3180
   5.100   1.0597   0.00658   0.00205  -0.1074   0.0557   0.3239
   5.200   1.0705   0.00666   0.00211  -0.1073   0.0524   0.3275
   5.300   1.0815   0.00669   0.00215  -0.1073   0.0500   0.3382
   5.400   1.0927   0.00673   0.00218  -0.1074   0.0478   0.3454
   5.500   1.1038   0.00676   0.00222  -0.1074   0.0470   0.3533
   5.600   1.1145   0.00683   0.00227  -0.1073   0.0440   0.3596
